NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment,resolved_locus_tag,resolution_method
TonB-dependent_receptor,WP_061485087.1,P,Inorganic_ion_transport_and_metabolism,33.1%,4.4%,33.1,4.4,2.9112557881699206,ACZ81_05530,multi:NCBI_PGAP_accession
"6,7-dimethyl-8-ribityllumazine_synthase_(ribE)",WP_014950088.1,H,Coenzyme_transport_and_metabolism,8.5%,,8.5,,,ACZ81_13015,multi:NCBI_PGAP_accession
bacterioferritin_(bfr),WP_014949586.1,P,Inorganic_ion_transport_and_metabolism,5.4%,,5.4,,,ACZ81_10350,multi:NCBI_PGAP_accession
porin_family_protein,WP_061484841.1,Unk,Unk,4.2%,,4.2,,,ACZ81_04230,multi:NCBI_PGAP_accession
outer_membrane_channel_protein_TolC_(tolC),WP_049587315.1,M,Cell_wall/membrane/envelope_biogenesis,3.8%,,3.8,,,ACZ81_02945,multi:NCBI_PGAP_accession
OmpA_family_protein,WP_014951106.1,M,Cell_wall/membrane/envelope_biogenesis,2.4%,2.0%,2.4,2.0,0.2630344058337938,ACZ81_18370,multi:NCBI_PGAP_accession
TonB-dependent_siderophore_receptor,WP_061486950.1,P,Inorganic_ion_transport_and_metabolism,2.1%,,2.1,,,ACZ81_06575,multi:NCBI_PGAP_accession
DUF839_domain-containing_protein,WP_061486042.1,R,General_function_prediction_only,1.9%,,1.9,,,ACZ81_11825,multi:NCBI_PGAP_accession
polysaccharide_export_protein,WP_061486270.1,M,Cell_wall/membrane/envelope_biogenesis,1.8%,,1.8,,,ACZ81_13870,multi:NCBI_PGAP_accession
aminopeptidase_PepB_(pepB),WP_061486687.1,E,Amino_acid_transport_and_metabolism,1.4%,,1.4,,,ACZ81_17795,multi:NCBI_PGAP_accession
MotA/TolQ/ExbB_proton_channel_family_protein,WP_014975938.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",1.2%,0.5%,1.2,0.5,1.2630344058337937,ACZ81_05565,multi:NCBI_PGAP_accession
ketol-acid_reductoisomerase_(ilvC),WP_014951396.1,E!!!H,Amino_acid_transport_and_metabolism!!!Coenzyme_transport_and_metabolism,1.1%,,1.1,,,ACZ81_19615,multi:NCBI_PGAP_accession
glutamate--ammonia_ligase_(glnA),WP_014950588.1,E,Amino_acid_transport_and_metabolism,0.9%,0.6%,0.9,0.6,0.5849625007211562,ACZ81_15545,multi:NCBI_PGAP_accession
DUF3450_domain-containing_protein,WP_014948702.1,Unk,Unk,0.8%,0.8%,0.8,0.8,0.0,ACZ81_05560,multi:NCBI_PGAP_accession
DUF481_domain-containing_protein,WP_014950387.1,M,Cell_wall/membrane/envelope_biogenesis,0.7%,,0.7,,,ACZ81_14595,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S1_(rpsA),WP_014949642.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,,ACZ81_10660,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S10_(rpsJ),WP_010179497.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,,ACZ81_01665,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S11_(rpsK),WP_012519215.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,ACZ81_17285,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S13_(rpsM),WP_012519216.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,,ACZ81_17290,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S16_(rpsP),WP_014948832.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.2%,,1.2,,ACZ81_06255,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S18_(rpsR),WP_012519954.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.5%,,1.5,,ACZ81_18450,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S19_(rpsS),WP_012516961.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.3%,,1.3,,ACZ81_01690,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S2_(rpsB),WP_014948552.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.0%,,1.0,,ACZ81_04835,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S20_(rpsT),WP_014950134.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,ACZ81_13260,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S21_(rpsU),WP_012517258.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,,ACZ81_03285,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S3_(rpsC),WP_014947978.1,J,"Translation,_ribosomal_structure_and_biogenesis",,2.2%,,2.2,,ACZ81_01700,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S4_(rpsD),WP_012519214.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.9%,,1.9,,ACZ81_17280,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S5_(rpsE),WP_012519221.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,,ACZ81_17315,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S6_(rpsF),WP_014951120.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,ACZ81_18455,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S7_(rpsG),WP_014951036.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.8%,,1.8,,ACZ81_18005,multi:NCBI_PGAP_accession
30S_ribosomal_protein_S9_(rpsI),WP_014975723.1,J,"Translation,_ribosomal_structure_and_biogenesis",,2.4%,,2.4,,ACZ81_03670,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L1_(rplA),WP_014951042.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.4%,,0.4,,ACZ81_18035,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L10_(rplJ),WP_014951041.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,,ACZ81_18030,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L13_(rplM),WP_014948329.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,ACZ81_03665,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L14_(rplN),WP_012519228.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.6%,,0.6,,ACZ81_17350,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L16_(rplP),WP_014947979.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.5%,,1.5,,ACZ81_01705,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L17_(rplQ),WP_012519212.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,ACZ81_17270,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L2_(rplB),WP_061439206.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.4%,,1.4,,ACZ81_01685,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L20_(rplT),WP_012518092.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.8%,,0.8,,ACZ81_07960,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L21_(rplU),WP_012517169.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,,ACZ81_02685,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L22_(rplV),WP_014947977.1,J,"Translation,_ribosomal_structure_and_biogenesis",,2.4%,,2.4,,ACZ81_01695,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L24_(rplX),WP_014950912.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.9%,,0.9,,ACZ81_17345,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L25/general_stress_proteinCtc,WP_014976150.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,ACZ81_07290,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L27_(rpmA),WP_012517170.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.7%,,1.7,,ACZ81_02690,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L28_(rpmB),WP_014947757.1,J,"Translation,_ribosomal_structure_and_biogenesis",,2.1%,,2.1,,ACZ81_00265,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L3_(rplC),WP_014947975.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.5%,,0.5,,ACZ81_01670,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L4_(rplD),WP_012516958.1,J,"Translation,_ribosomal_structure_and_biogenesis",,2.3%,,2.3,,ACZ81_01675,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L5_(rplE),WP_014950911.1,J,"Translation,_ribosomal_structure_and_biogenesis",,3.6%,,3.6,,ACZ81_17340,multi:NCBI_PGAP_accession
50S_ribosomal_protein_L6_(rplF),WP_014950909.1,J,"Translation,_ribosomal_structure_and_biogenesis",,1.1%,,1.1,,ACZ81_17325,multi:NCBI_PGAP_accession
ADP-forming_succinate--CoA_ligase_subunit_beta_(sucC),WP_014949450.1,C,Energy_production_and_conversion,,0.6%,,0.6,,ACZ81_09795,multi:NCBI_PGAP_accession
dihydrolipoyl_dehydrogenase_(lpdA),WP_014950394.1,C,Energy_production_and_conversion,,0.7%,,0.7,,ACZ81_14640,multi:NCBI_PGAP_accession
DNA-directed_RNA_polymerase_subunit_beta'_(rpoC),WP_039229319.1,K,Transcription,,0.5%,,0.5,,ACZ81_18015,multi:NCBI_PGAP_accession
DNA-directed_RNA_polymerase_subunit_beta_(rpoB),WP_014977618.1,K,Transcription,,0.8%,,0.8,,ACZ81_18020,multi:NCBI_PGAP_accession
elongation_factor_G,WP_061485411.1,J,"Translation,_ribosomal_structure_and_biogenesis",,0.7%,,0.7,,ACZ81_07380,multi:NCBI_PGAP_accession
elongation_factor_Tu_(tuf),WP_014977498.1,J,"Translation,_ribosomal_structure_and_biogenesis",,5.0%,,5.0,,,ambiguous
