refseq_locus,log2fc_2h,padj_2h,log2fc_4h,padj_4h
TX50_RS00020,0.8456155,0.00018026,1.03124213,7.84481314255773e-19
TX50_RS00025,0.11450185,0.66405678,0.08400668,0.69841045
TX50_RS00030,-0.7449607,0.01051219,-0.4630721,0.00027248
TX50_RS00035,-0.6747138,0.01051219,-0.5702892,0.00012733
TX50_RS00040,-0.3545434,0.27292461,0.24747791,0.1051928
TX50_RS00045,-0.5901946,0.13658337,-0.5038552,0.08680953
TX50_RS00050,-0.4593627,0.04323944,-0.2015033,0.29658948
TX50_RS00055,0.78211262,8.99411315866578e-07,0.88282927,8.72830126774553e-17
TX50_RS00060,-0.1765132,0.56812472,-0.3624072,0.16466319
TX50_RS00065,0.37024665,0.06351122,0.43058095,0.00290429
TX50_RS00070,0.66431132,0.00045031,0.84867952,2.10316304149248e-10
TX50_RS00075,0.21537281,0.32034566,0.63791677,4.19200689176942e-05
TX50_RS00080,0.11517362,0.56490922,0.1366196,0.26751952
TX50_RS00085,-1.1083313,1.30710414121105e-12,-1.097863,6.11295795552281e-16
TX50_RS00090,0.15264691,0.45854251,0.21650141,0.15928547
TX50_RS00095,-0.0770934,0.70228702,0.30808657,0.00613789
TX50_RS00100,-1.846225,2.51356870179989e-09,-1.3367572,9.87564345670359e-25
TX50_RS00105,-2.4715103,6.23019915532034e-06,-1.4957511,0.00017313
TX50_RS00110,-1.6745994,3.60016203887688e-08,-1.5187761,7.81202380892333e-15
TX50_RS00115,-0.2155222,0.48544275,-0.0674436,0.80302271
TX50_RS00120,-0.2779263,0.27502053,-0.1278352,0.57702384
TX50_RS00125,-0.3095493,0.22145506,-0.3465058,0.12292101
TX50_RS00130,-0.6614807,0.04112245,-1.0531834,2.54806056494405e-12
TX50_RS00135,-0.72767,0.00226106,-1.0623661,1.91343975429973e-14
TX50_RS00140,-0.157953,0.55614104,-0.5421579,4.31304486823098e-05
TX50_RS00145,0.55683594,0.03337861,0.36322057,0.00291613
TX50_RS00150,0.49536969,0.0077691,0.44692515,0.00020374
TX50_RS00155,-0.4581813,0.10710176,-0.6785041,3.5706283514414e-05
TX50_RS00160,0.08638849,0.76423867,-0.2980478,0.1212443
TX50_RS00165,3.39019662,1.94083096754424e-17,4.53636626,3.40571685314808e-130
TX50_RS00170,0.46428576,0.25004765,1.44049508,1.37902522030065e-19
TX50_RS00175,1.21036549,1.9378103451816e-05,2.07997153,4.60499442241823e-40
TX50_RS00180,0.15931122,0.4726111,-0.0140626,0.93705544
TX50_RS00185,1.75272457,4.26311747403525e-22,1.87160815,6.57455819016941e-36
TX50_RS00190,0.49531121,0.05889191,0.55539053,2.24307443640779e-05
TX50_RS00195,0.04509182,0.8532792,0.13623297,0.50899138
TX50_RS00200,0.39928184,0.10815336,0.82713389,3.29918501252481e-09
TX50_RS00205,-0.0215023,0.9550979,0.30475036,0.31315709
TX50_RS00210,0.23403608,0.48313853,1.14236145,7.10489028094542e-11
TX50_RS00215,-0.941856,4.55548668161209e-07,-1.2004563,1.44886131055865e-11
TX50_RS00220,-1.5905751,6.48328865321099e-18,-1.7583913,3.71718273226041e-24
TX50_RS00225,-1.7565389,1.18797550421237e-18,-2.1564839,6.2509220209657e-47
TX50_RS00230,-0.9418593,5.75477474897713e-11,-0.9770091,3.55936962820104e-15
TX50_RS00235,-0.3883245,0.03691613,-0.468678,0.00163125
TX50_RS00240,1.2962807,1.38085504145972e-13,1.8201227,1.03257461115542e-50
TX50_RS00245,0.97846836,5.00114223114297e-05,0.99264885,1.07155376535725e-06
TX50_RS00250,-0.0201342,0.93077409,-0.1809465,0.24158178
TX50_RS00255,0.17164859,0.34820204,0.29728213,0.00928827
TX50_RS00260,-0.995361,0.0312801,-0.4357887,0.20991572
TX50_RS00265,0.28252224,0.18238409,0.19079631,0.29820298
TX50_RS00270,0.5708095,0.00472953,1.15757092,1.26389535667964e-11
TX50_RS00275,0.05356552,0.88164699,0.38438127,0.13276741
TX50_RS00280,0.14543649,0.6365592,-0.0592023,0.80688601
TX50_RS00285,0.33719208,0.48100255,0.96109762,0.00402887
TX50_RS00290,1.28170211,1.76905847049373e-05,2.15683642,1.1623167281407e-26
TX50_RS00295,0.19605902,0.57677246,-0.4381179,0.00946218
TX50_RS00300,0.05157387,0.82185417,0.14184051,0.41505056
TX50_RS00305,-0.9507116,0.00023872,-0.6615835,0.0021342
TX50_RS00310,-0.2347718,0.34654679,-0.4794575,0.02731953
TX50_RS00315,0.54124496,0.217483,0.99602888,0.02423155
TX50_RS00320,0.30317159,0.27819309,0.07534612,0.57461981
TX50_RS00325,0.02899206,0.92861916,-0.6696714,0.00204806
TX50_RS00330,1.31172027,0.00103022,1.1483896,5.768499232454e-11
TX50_RS00335,0.73282048,0.01035889,1.39157664,7.4154078294124e-25
TX50_RS00340,0.69381344,0.00768476,0.72108729,0.00045832
TX50_RS00345,-0.9196685,1.09412222992185e-06,-0.9295584,1.73179846930378e-10
TX50_RS00350,-1.6762985,7.48139959669039e-13,-2.0768463,4.67319784964043e-21
TX50_RS00355,-0.6286074,0.13516865,-0.8172491,0.00885621
TX50_RS00360,0.78852979,0.00023023,0.74448741,1.71732425225136e-05
TX50_RS00365,0.2049694,0.45334641,-0.1032479,0.53917394
TX50_RS00370,-0.5315178,0.00501487,-0.9115319,9.31825240885898e-11
TX50_RS00375,-0.8260652,8.56214361626012e-05,-1.3075846,1.39485389635118e-12
TX50_RS00380,-0.8039211,0.00048585,-0.9526406,3.82520925976284e-11
TX50_RS00385,-0.3660632,0.0340417,-0.4085309,0.00018274
TX50_RS00390,-0.4710845,0.40102552,-0.8880483,0.04435232
TX50_RS00395,-1.8030121,3.00185284525797e-09,-2.4033272,3.75872046202835e-47
TX50_RS00405,-1.7001098,4.0267245040704e-16,-2.0793703,3.46777706379833e-63
TX50_RS00410,-1.1432716,3.29301798613177e-06,-1.8586062,5.85838024605306e-28
TX50_RS00415,-0.7280535,0.0172364,-0.6609387,0.02306323
TX50_RS00420,1.4221369,1.29014436727229e-05,1.09718306,5.86574894837418e-09
TX50_RS00425,0.12302547,0.64749963,-0.1120833,0.63114942
TX50_RS00430,0.9416954,7.02927149594791e-05,0.80025042,3.55198118028387e-08
TX50_RS00435,-0.9638937,0.00042307,-1.3263733,1.03491602462974e-08
TX50_RS00440,0.41082814,0.03370094,0.8666014,3.98096735766401e-12
TX50_RS00445,-0.2445937,0.29147021,-0.1992749,0.24781089
TX50_RS00450,1.5248733,2.12868775394307e-18,1.66754891,7.55013237830415e-40
TX50_RS00455,1.60751803,8.73162062718853e-20,2.10869922,8.14677087080277e-70
TX50_RS00460,2.04846807,1.5332960666554e-19,2.43728734,1.09361447658906e-37
TX50_RS00465,1.73947449,1.55038733100542e-24,1.81312599,8.04367773359743e-41
TX50_RS00475,0.43469352,0.01231038,0.3960331,0.00759249
TX50_RS00480,-0.0097231,0.96851579,-0.3634518,0.04707558
TX50_RS00485,-0.3964809,0.0182896,-0.2603482,0.04089862
TX50_RS00490,-1.2031028,1.45382597097408e-05,-1.3582075,7.23329733606365e-18
TX50_RS00495,1.25296355,2.17467801267821e-16,1.52441613,2.39453194471537e-43
TX50_RS00500,0.69031749,1.52453972610588e-05,0.58006019,0.00016235
TX50_RS00505,-0.9815938,4.17494599866116e-09,-1.1347683,2.6109666146469e-12
TX50_RS00510,-0.4400466,0.05054841,-0.9654066,3.88827893527417e-09
TX50_RS00515,0.03185177,0.88699626,-0.2399605,0.23115327
TX50_RS00520,1.01764807,9.22439776264054e-08,1.04804865,3.47024737193533e-12
TX50_RS00525,-0.7727886,0.00027189,-1.2751366,1.4454741624647e-14
TX50_RS00530,-0.7925685,5.14660134948231e-06,-1.0022305,1.182747475222e-11
TX50_RS00535,1.01772866,2.1441414220957e-10,0.97670763,7.55303536234377e-14
TX50_RS00540,-0.0680863,0.77000102,-0.2421271,0.18946314
TX50_RS00550,1.03127458,5.87467031099344e-06,1.13505539,1.46162487083441e-06
TX50_RS00555,-0.5708681,0.04720887,-0.5755859,0.01094312
TX50_RS00560,-1.1081052,8.18296990381885e-07,-1.0709355,3.33087596242231e-07
TX50_RS00565,0.15234905,0.44405456,0.45192419,0.00045832
TX50_RS00570,0.44121004,0.3082523,0.41222359,0.22269897
TX50_RS00575,-0.3566318,0.72780563,-1.8799413,0.08501496
TX50_RS00580,-0.5536554,0.04720887,-0.6248909,0.00364833
TX50_RS00585,-1.23399,1.03597936631256e-08,-1.4386408,3.72931238699372e-13
TX50_RS00590,0.03992564,0.91321084,-0.487656,0.11424478
TX50_RS00595,-0.8424254,0.00065133,-1.3053059,4.61373983354789e-11
TX50_RS00600,-1.8388583,4.3063947019369e-12,-1.4148926,4.10878128865886e-15
TX50_RS00605,-1.5623379,3.2261687820778e-09,-1.2823157,4.43058051588323e-21
TX50_RS00610,0.8886255,1.52426926209471e-07,0.86728737,1.70862160601328e-11
TX50_RS00615,-0.9374657,2.7280305979638e-05,-1.307369,1.54629763890367e-15
TX50_RS00620,-0.9768769,8.90973780963919e-05,-0.7591933,0.00013817
TX50_RS00625,0.42219296,0.22005052,0.52691764,0.07439053
TX50_RS00630,-0.8289434,0.00678297,-0.9984172,9.03002315489993e-07
TX50_RS00635,0.19559575,0.53593711,-0.4358327,0.05952095
TX50_RS00640,-0.497899,0.06288373,-0.762919,0.00027185
TX50_RS00645,-0.134923,0.65581826,0.07168194,0.70434633
TX50_RS00650,-0.2852173,0.23265404,-0.5839855,0.00141524
TX50_RS00655,-0.93952,4.45438214870722e-06,-1.1531918,4.45175072790758e-10
TX50_RS00660,0.63948171,0.0250331,0.72120278,0.02455338
TX50_RS00665,0.07123736,0.73577877,0.3677905,0.00956101
TX50_RS00670,-0.1444207,0.73584506,-0.4106042,0.15437295
TX50_RS00675,-0.5541395,0.07520724,-1.1993484,6.15919039585366e-20
TX50_RS00680,-0.8212142,0.00657038,-1.4621058,1.42421711900835e-08
TX50_RS00685,-1.000329,0.00026291,-1.0920102,6.50875250499396e-07
TX50_RS00690,-0.3874198,0.05686903,-0.7879063,2.6622889803019e-12
TX50_RS00695,0.56587345,0.00380957,0.34203461,0.04721538
TX50_RS00700,0.08812775,0.68487794,-0.002345,0.99128327
TX50_RS00705,0.94021704,2.58535930782237e-06,0.93806053,2.26926260641162e-13
TX50_RS00710,-0.0567279,0.76423867,-0.4039898,0.00214413
TX50_RS00715,0.00030503,0.99889561,0.08555802,0.71439258
TX50_RS00720,-0.066409,0.87450493,-0.5661988,1.94290350019431e-05
TX50_RS00725,-0.3901256,0.29765591,-0.6183122,0.00016089
TX50_RS00730,-0.254947,0.36994851,-0.2149009,0.36126026
TX50_RS00735,0.91917186,0.01066193,0.80111565,0.01259934
TX50_RS00740,-0.5578161,0.07941904,-0.3371327,0.11706595
TX50_RS00745,1.66387155,7.79608493372142e-09,1.38267456,2.30918406625682e-31
TX50_RS00750,0.18919132,0.32320398,-0.0467117,0.7331873
TX50_RS00755,-1.8789913,7.84857717382425e-29,-1.6542905,1.90872855766084e-25
TX50_RS00760,0.58507266,0.02372354,0.75270926,1.04331587303378e-05
TX50_RS00765,0.13649344,0.56550127,-0.0620976,0.69153826
TX50_RS00770,1.5707458,1.61673307167538e-14,1.65517061,2.56777891455784e-40
TX50_RS00775,0.54765127,0.04993435,0.01355435,0.95146043
TX50_RS00780,-0.8869109,1.10705270526634e-07,-1.2400894,4.70381158414368e-23
TX50_RS00785,-0.5767467,0.20966045,-0.147193,0.23605
TX50_RS00790,0.02147658,0.94378565,0.69946471,0.00010441
TX50_RS00795,0.39521156,0.02086193,0.30123908,0.02393542
TX50_RS00800,0.42086767,0.06781142,0.40810561,0.00624754
TX50_RS00805,0.33495514,0.06440222,0.85938647,5.00900312132239e-14
TX50_RS00810,-0.4540396,0.14223571,-0.5744514,0.01852688
TX50_RS00815,0.81423537,2.0135434709469e-05,1.5380461,3.14672420903044e-19
TX50_RS00820,-1.4846023,2.51427543675608e-08,-1.2032295,7.49781745355822e-08
TX50_RS00825,-1.1214108,5.38387843046419e-07,-1.478947,7.26725993832462e-18
TX50_RS00830,-0.6256402,0.01934589,-0.4114071,0.00138873
TX50_RS00835,-1.0739396,4.24158955386945e-05,-1.3943891,7.90541216833252e-19
TX50_RS00840,-0.0094094,0.98016245,0.53425014,8.67562099861488e-05
TX50_RS00845,-0.3279477,0.37411798,-0.216916,0.54926359
TX50_RS00850,-0.2277193,0.40279462,-0.4856154,0.02378607
TX50_RS00855,-0.4017081,0.13009712,-0.2046775,0.1395142
TX50_RS00860,-0.0717726,0.9585218,1.09909432,0.50619345
TX50_RS00865,1.20820761,1.48952714109506e-07,1.2878111,1.59068519719617e-12
TX50_RS00870,-0.0438134,0.8744683,-0.2394627,0.24750885
TX50_RS00875,0.25699578,0.25776868,0.45258653,0.00783358
TX50_RS00880,0.74642759,0.00010338,0.98291591,1.50526592838272e-12
TX50_RS00885,-0.9166062,1.80433493446457e-06,-0.9022203,8.22617193939963e-09
TX50_RS00890,0.05181316,0.87005545,0.1170839,0.65805875
TX50_RS00895,0.12817716,0.61002971,0.31480157,0.02619276
TX50_RS00900,-0.2855622,0.28508397,-0.419272,0.06286133
TX50_RS00905,0.18124086,0.51276941,0.08487138,0.74027408
TX50_RS00910,-0.0263552,0.93685691,-0.5972440999999999,0.02101323
TX50_RS00915,0.49676251,0.0811515,0.27933808,0.17323428
TX50_RS00920,-0.1605607,0.58428839,-0.627954,0.0001253
TX50_RS00925,-1.145087,2.9626816049119e-09,-1.6085536,3.14672420903044e-19
TX50_RS00930,-0.3256206,0.25982234,0.00256928,0.99173574
TX50_RS00935,-0.0887963,0.6879838,-0.1185907,0.49978723
TX50_RS00940,1.13149087,0.00728341,0.31726807,0.37735629
TX50_RS00945,1.74325825,6.11297469109657e-06,1.80263497,2.63181691541818e-21
TX50_RS00950,-0.9800539,0.30367626,-1.566139,0.15928547
TX50_RS00955,-0.2150058,0.36449338,-0.1284124,0.50404799
TX50_RS00960,-0.3540941,0.07709989,-0.4729321,0.00122854
TX50_RS00965,0.20244515,0.41897851,0.41671579,0.01992073
TX50_RS00970,-0.439665,0.0368587,-0.3331692,0.05893943
TX50_RS00975,0.87118801,0.01403493,0.62846217,0.00220489
TX50_RS00980,0.11289522,0.70690528,0.58967967,0.00546177
TX50_RS00985,-1.0155267,0.0002684,-0.7858858,0.00283784
TX50_RS00990,0.1213098,0.6879838,0.60561231,1.28326641112312e-05
TX50_RS00995,0.03006746,0.93169458,-0.0461577,0.88304455
TX50_RS01000,-0.5686648,0.0270168,-0.4020314,0.06904611
TX50_RS01005,0.06214349,0.85598553,0.05245569,0.84762574
TX50_RS01010,-2.3512258,3.60954518435246e-22,-2.5659685,1.37748352038956e-108
TX50_RS01015,-1.8773636,1.16153055407119e-08,-1.9137774,9.46489088669103e-17
TX50_RS01020,-0.2878591,0.42189815,0.16689498,0.62123708
TX50_RS01025,-0.1788614,0.48579854,0.27703976,0.11852928
TX50_RS01030,0.29679272,0.23265069,0.31107565,0.0673468
TX50_RS01035,-0.7384836,4.64823163133165e-05,-0.972052,2.85835811602524e-12
TX50_RS01040,0.09250697,0.64615863,0.14664457,0.36907759
TX50_RS01045,0.34268414,0.0312801,0.36705353,0.00798656
TX50_RS01050,0.75282197,2.24777783604516e-06,0.62610824,1.54501679523922e-07
TX50_RS01055,0.06159474,0.73974518,-0.0613232,0.6652328
TX50_RS01060,-0.0058967,0.97524154,-0.3113076,0.02625325
TX50_RS01065,0.08892813,0.74802587,-0.2050515,0.21278129
TX50_RS01070,-0.9716417,4.21343154758118e-05,-0.899749,9.86900635392055e-09
TX50_RS01075,-0.5392419,0.13342428,-0.2633048,0.06036773
TX50_RS01080,0.01640911,0.94306105,0.02883697,0.84987449
TX50_RS01085,0.64586212,0.00136082,0.68725675,2.6718858912106e-06
TX50_RS01090,-0.1090181,0.60040437,-0.1483754,0.23916665
TX50_RS01095,-1.2012533,0.00233711,-0.6431674,0.01277052
TX50_RS01100,-0.0244658,0.94962318,-0.6922142,8.65212308206354e-08
TX50_RS01105,0.887827,0.02208292,0.23187986,0.06017354
TX50_RS01110,0.46743532,0.10178256,0.2541758,0.14470557
TX50_RS01115,-0.697172,0.15241149,-1.080649,0.04138235
TX50_RS01120,-0.6181704,0.0053171,-0.5070588,0.0011589
TX50_RS01125,-0.934349,0.01066193,-0.3861959,0.09455412
TX50_RS01130,0.15477083,0.68541874,0.47861912,0.09233164
TX50_RS01140,-1.6601202,2.55082224052861e-12,-1.423857,6.23136224486452e-11
TX50_RS01145,-0.1005056,0.68522209,-0.2330213,0.21969994
TX50_RS01150,-2.5066527,5.99895543576986e-44,-2.6345748,2.54967983465953e-90
TX50_RS01155,0.01258836,0.96935399,0.48513155,0.00135271
TX50_RS01160,-1.9066079,5.55416728040623e-11,-1.989269,3.11681361655603e-17
TX50_RS01165,-0.7675456,3.83413607547409e-06,-0.8112996,1.06590757916691e-10
TX50_RS01170,-0.9872817,0.00481374,-1.4652852,4.49640777428277e-24
TX50_RS01175,0.30164703,0.41701972,-0.1755829,0.15110495
TX50_RS01180,0.21625248,0.3687163,-0.1623026,0.32948978
TX50_RS01185,-1.7335416,0.16672959,-0.5060347,0.68287876
TX50_RS01190,1.10393082,1.84352929962689e-05,0.91503575,1.02632980917665e-05
TX50_RS01195,-0.1588716,0.68475402,-0.175535,0.59847736
TX50_RS01200,-0.3289522,0.0988621,-0.0218474,0.91049837
TX50_RS01205,0.3309183,0.21220368,0.71622842,0.00120952
TX50_RS01210,0.32493843,0.26938272,0.29744066,0.15017912
TX50_RS01215,-1.2176034,5.34303004612532e-12,-1.0367515,1.17077672081507e-11
TX50_RS01225,0.19968003,0.74757368,0.42665659,0.24050897
TX50_RS01230,-0.4487727,0.34313093,-0.7716568,0.04403661
TX50_RS01235,-0.7125917,0.00023731,-0.8477958,5.57033154455455e-10
TX50_RS01240,1.9265349,1.61649367014848e-09,1.71605828,1.25195597136126e-19
TX50_RS01245,0.32965707,0.57280463,0.00800352,0.99128327
TX50_RS01250,-0.4184439,0.11487648,-0.6875569,0.00616543
TX50_RS01255,-0.9626726,0.00066524,-1.0793303,2.56036279127147e-08
TX50_RS01260,-0.6059331,0.04729067,-0.3465526,0.01322914
TX50_RS01265,-0.0423779,0.91839817,0.48474196,0.00611807
TX50_RS01270,0.3001825,0.41211187,0.7895782,4.66091575368942e-07
TX50_RS01275,-0.6764781,0.00481374,-0.2919089,0.25626443
TX50_RS01280,0.22745984,0.58564333,-0.1474948,0.68952445
TX50_RS01285,-0.5865058,0.29839179,-2.3559556,0.00115364
TX50_RS01290,-0.2279391,0.58564333,-0.692789,0.08177402
TX50_RS01295,0.01335145,0.96969244,-0.0360706,0.90378641
TX50_RS01300,1.6213206,5.93184373763677e-07,1.56847478,5.06886516922594e-25
TX50_RS01305,-2.1728159,1.35362621974666e-25,-2.4508228,5.19553237288296e-42
TX50_RS01310,-0.6643588,0.01448284,-0.8600877,3.80838080517702e-08
TX50_RS01315,-1.3233815,2.53651791461186e-14,-1.4812514,8.58388089399399e-32
TX50_RS01320,-0.5900456,0.01077503,-0.4075117,0.03498112
TX50_RS01325,0.67537122,0.00025812,0.68863904,2.41764370615648e-06
TX50_RS01330,-1.0203227,0.00537718,-0.4630436,0.00465915
TX50_RS01335,-0.3964591,0.28880733,-0.1154661,0.38171478
TX50_RS01340,-0.8551353,0.03394412,-1.523185,9.48084618089289e-05
TX50_RS01345,-0.2362934,0.3578056,-0.3808573,0.03297358
TX50_RS01350,-0.9452459,0.00125626,-1.2121379,2.98587754444637e-05
TX50_RS01355,0.10052464,0.67525344,0.20781255,0.24002883
TX50_RS01360,-0.3441831,0.31310737,-0.4526239,0.10240569
TX50_RS01365,-0.2492447,0.603805,0.33448311,0.00186525
TX50_RS01370,-0.2845998,0.12789343,-0.5197822,0.00016649
TX50_RS01375,0.60978614,0.01669111,0.46769504,9.71302685277589e-05
TX50_RS01380,-0.4892752,0.00502941,-0.651728,6.31455617077246e-07
TX50_RS01385,-1.4590005,3.2261687820778e-09,-0.7511202,1.44262673283757e-05
TX50_RS01390,-0.1670804,0.51797998,0.81369164,4.08944095213832e-07
TX50_RS01395,-0.4383856,0.04408861,-0.5996514,0.00323551
TX50_RS01400,-0.0296336,0.92855382,-0.1062031,0.68952445
TX50_RS01405,-0.3595088,0.25847553,-0.214043,0.35123369
TX50_RS01410,1.26282298,0.00022655,1.09308577,4.8319782044493e-18
TX50_RS01415,0.22292324,0.55931345,-0.1994726,0.08478126
TX50_RS01420,0.02418133,0.90326748,0.47801684,0.00107686
TX50_RS01425,-0.1263314,0.84505173,0.38189815,0.54989349
TX50_RS01430,1.61294748,7.87477756309876e-13,1.74186068,1.86818316192527e-25
TX50_RS01435,1.22385731,3.36111662409983e-07,1.02157552,1.93338231960031e-08
TX50_RS01440,0.16258038,0.64539199,0.76555738,3.47695183944056e-05
TX50_RS01445,-0.0893926,0.74277583,0.05134855,0.80530737
TX50_RS01450,-1.265816,4.96689142276821e-10,-1.4399992,3.07294392534693e-15
TX50_RS01455,-2.3621358,2.02283057340903e-47,-2.430463,5.61563597520174e-55
TX50_RS01460,0.26562126,0.26180483,-0.1262111,0.40879643
TX50_RS01465,0.9748894,0.00037759,0.79028148,1.6132882684637e-08
TX50_RS01470,-0.0415505,0.90942259,0.11534075,0.67663517
TX50_RS01475,0.46323047,0.02265721,0.48368277,0.00053877
TX50_RS01480,-0.3018636,0.17654102,-0.4480874,0.00775025
TX50_RS01485,-0.6743925,0.07038065,-0.7361485,0.00163615
TX50_RS01490,-0.6106456,0.07698781,-0.7335249,0.01535968
TX50_RS01495,-0.0768701,0.73316963,-0.2594593,0.05401885
TX50_RS01500,-0.2432895,0.22484506,-0.5077699,0.00117837
TX50_RS01505,0.09452354,0.72370371,0.05437448,0.8018702
TX50_RS01510,-0.4367392,0.04073579,-0.574617,3.47695183944056e-05
TX50_RS01515,-0.8335746,9.1309741322632e-05,-0.9629531,1.41105592863677e-09
TX50_RS01520,-0.4492883,0.04545132,-0.0710101,0.65805875
TX50_RS01525,-1.1759442,8.17318162388011e-08,-1.3709881,3.8561990046343e-17
TX50_RS01530,-1.1414407,1.71121928707718e-05,-1.2458523,5.19674828592697e-16
TX50_RS01535,-0.4411866,0.03384699,-0.8314633,2.42746173281087e-11
TX50_RS01540,0.72383744,0.00694651,0.30424402,0.00409967
TX50_RS01545,0.52146888,0.03268173,-0.2744408,0.18942069
TX50_RS01550,0.07236129,0.78719393,-0.7020557,5.03469834777958e-10
TX50_RS01555,0.37647941,0.04875207,0.2750992,0.03229168
TX50_RS01560,0.1874154,0.4380688,0.21818575,0.21352325
TX50_RS01565,-0.6753829,0.01840048,-0.7111063,0.00049398
TX50_RS01570,-1.2296753,1.66923214791835e-06,-1.0960532,7.7047915717487e-12
TX50_RS01575,0.12955964,0.59072283,0.09291648,0.65459956
TX50_RS01580,1.49964343,8.62233793158195e-07,1.67757018,1.541473572176e-28
TX50_RS01585,0.26435356,0.36220338,0.42707046,0.01062904
TX50_RS01590,0.46180852,0.19530929,0.42820925,0.05300437
TX50_RS01595,-0.0130652,0.95497704,-0.2054398,0.16616965
TX50_RS01600,-0.4261254,0.16053181,-0.8081769,0.00165217
TX50_RS01605,-3.3610461,0.04265575,-0.9104685,0.50757371
TX50_RS01610,0.3199724,0.10259754,0.5922306,0.00016785
TX50_RS01615,1.8848619,9.14094223266186e-32,1.91329823,1.73636144932065e-28
TX50_RS01620,0.64449677,1.37723584838455e-05,0.95949493,1.04415896540867e-16
TX50_RS01625,0.33612237,0.22910166,1.10390563,2.68140077073242e-18
TX50_RS01630,0.01834189,0.96851579,-0.5763962,0.06058501
TX50_RS01635,0.28953525,0.41427624,-0.2042365,0.07713406
TX50_RS01640,-2.4881515,1.66178770155762e-39,-2.5464643,7.34904117304538e-50
TX50_RS01645,0.1688575,0.497205,-0.1109703,0.58811142
TX50_RS01650,-0.8520228,0.00020159,-1.206541,2.44732838102096e-14
TX50_RS01655,0.2423412,0.26999415,-0.0823426,0.63440848
TX50_RS01660,0.26443629,0.44290993,-0.5536986,0.0463888
TX50_RS01665,0.55685004,0.09576038,0.44296833,0.01000608
TX50_RS01670,-1.4287902,0.01446795,-0.5552354,0.00080964
TX50_RS01675,-1.5038946,4.42632557943278e-07,-2.0146201,9.71500113622778e-15
TX50_RS01680,-0.4076854,0.23098756,-0.1639083,0.52226331
TX50_RS01685,0.8848215,0.00333897,1.55397494,1.70585753509337e-34
TX50_RS01690,-0.367293,0.25143022,-1.0322848,4.77392142386898e-24
TX50_RS01695,0.90851302,1.97031285954698e-05,0.71999586,1.70115466883722e-10
TX50_RS01700,-0.3329688,0.10228276,-0.4851554,3.82750051320608e-05
TX50_RS01705,0.50721203,0.21698817,1.79611368,4.258127939254e-49
TX50_RS01710,-0.4059528,0.03670749,0.03967024,0.80564371
TX50_RS01715,0.77774052,0.00012632,1.59831538,8.25904630991617e-39
TX50_RS01720,0.88870704,0.02077319,2.16414675,1.45717179234192e-41
TX50_RS01725,-2.2480992,0.16718842,1.60350454,0.00017113
TX50_RS01730,-0.0420834,0.8744683,-0.0380534,0.78447863
TX50_RS01735,1.06721384,3.08345634150387e-06,1.16347528,1.26396188351394e-06
TX50_RS01740,1.87203847,5.34495038478313e-09,1.78663513,5.51740289712717e-15
TX50_RS01745,0.70857756,9.78908849575899e-05,0.70101694,3.14816248295727e-07
TX50_RS01750,1.72884767,3.29301798613177e-06,1.77417568,3.40204746505086e-19
TX50_RS01755,-0.1192545,0.60441243,-0.1225388,0.51680433
TX50_RS01760,0.768084,0.00984133,0.98412218,0.00010198
TX50_RS01765,1.56866911,1.58374687555467e-11,1.07673442,3.14964398717569e-13
TX50_RS01770,-0.214102,0.60816261,0.31872205,0.08933296
TX50_RS01775,2.23040556,1.43321622624059e-08,1.70099003,5.31300983954429e-15
TX50_RS01780,3.814384,1.05814542093006e-19,5.59053324,1.09806437781687e-279
TX50_RS01785,1.458263,1.69533113463065e-20,1.39242372,1.06745750353169e-26
TX50_RS01790,2.31670167,8.09260253318425e-11,2.26519876,8.82798375898714e-49
TX50_RS01795,0.15119138,0.58564333,0.11246451,0.44978808
TX50_RS01800,0.06538647,0.82600468,-0.2620386,0.23788957
TX50_RS01805,0.29901914,0.35207425,-0.1412205,0.54984415
TX50_RS01810,1.04460796,6.66753189942187e-09,1.44695037,5.7368043692714e-16
TX50_RS01815,1.05185841,3.0147772619202e-07,1.09652793,7.47590105645068e-12
TX50_RS01820,0.86406844,0.00018026,0.71640823,0.00144519
TX50_RS01825,-1.523237,0.00025812,-1.0929034,0.00290429
TX50_RS01830,-1.874439,4.56130001948302e-24,-1.7600716,3.01191166052685e-26
TX50_RS01835,-0.6149803,0.00045131,-0.7366241,5.04041983504074e-06
TX50_RS01840,-1.0540249,2.23334531249672e-07,-0.849299,8.39142428972279e-08
TX50_RS01845,4.97288264,7.42944274354489e-41,6.71353622,0.0
TX50_RS01850,0.97952711,0.02736122,1.91589317,6.01706603110197e-07
TX50_RS01855,1.75739602,1.47896212015692e-05,1.29320014,0.00043742
TX50_RS01860,-0.1042372,0.84134597,-2.1230276,0.00016211
TX50_RS01865,-0.1799052,0.56131658,-0.313082,0.23998314
TX50_RS01870,-0.2034921,0.38787371,-0.156763,0.39899231
TX50_RS01875,0.66603631,0.00838083,0.71686099,0.00048124
TX50_RS01880,1.86764354,0.00028265,1.63891025,4.17174624096272e-06
TX50_RS01885,0.6525226,0.06784373,0.8317439,0.01497276
TX50_RS01890,-0.4178949,0.14662874,-0.5227937,0.04935308
TX50_RS01895,2.71917527,5.78588543043419e-27,2.5843721,9.64927228702985e-84
TX50_RS01900,-0.3582855,0.35653677,-0.142854,0.6698112
TX50_RS01905,-0.1508156,0.56550127,-0.4189934,0.05427476
